product_id,product_category,location_id,date,demand,stock_level,outlier_handled,outlier_method,outlier_threshold,original_demand
PROD_003,CLOTHING,LOC_003,2022-01-21,78.8623228734312,103.36,True,zscore,1.2,85.75
PROD_002,CLOTHING,LOC_002,2022-01-24,63.2448395,56.45,True,mad,1.5,83.63
PROD_003,CLOTHING,LOC_003,2022-01-24,78.8623228734312,93.52,True,zscore,1.2,88.32
PROD_002,CLOTHING,LOC_002,2022-01-25,63.2448395,40.72,True,mad,1.5,79.34
PROD_003,CLOTHING,LOC_003,2022-01-25,78.8623228734312,69.06,True,zscore,1.2,80.79
PROD_004,FOOD,LOC_004,2022-01-25,104.29327959999999,151.5,True,mad,1.2,106.73
PROD_002,CLOTHING,LOC_002,2022-01-26,63.2448395,46.46,True,mad,1.5,79.93
PROD_003,CLOTHING,LOC_003,2022-01-26,78.8623228734312,85.66,True,zscore,1.2,85.83
PROD_002,CLOTHING,LOC_002,2022-01-27,63.2448395,67.91,True,mad,1.5,81.76
PROD_003,CLOTHING,LOC_003,2022-01-27,78.8623228734312,76.8,True,zscore,1.2,85.95
PROD_002,CLOTHING,LOC_002,2022-01-28,63.2448395,58.98,True,mad,1.5,80.86
PROD_003,CLOTHING,LOC_003,2022-01-28,78.8623228734312,60.95,True,zscore,1.2,87.21
PROD_002,CLOTHING,LOC_002,2022-01-31,63.2448395,47.98,True,mad,1.5,83.13
PROD_003,CLOTHING,LOC_003,2022-01-31,78.8623228734312,82.64,True,zscore,1.2,86.75
PROD_002,CLOTHING,LOC_002,2022-02-01,63.2448395,38.83,True,mad,1.5,82.11
PROD_003,CLOTHING,LOC_003,2022-02-01,78.8623228734312,73.83,True,zscore,1.2,95.07
PROD_002,CLOTHING,LOC_002,2022-02-02,63.2448395,57.79,True,mad,1.5,80.95
PROD_003,CLOTHING,LOC_003,2022-02-02,78.8623228734312,89.45,True,zscore,1.2,90.82
PROD_002,CLOTHING,LOC_002,2022-02-03,63.2448395,45.27,True,mad,1.5,82.81
PROD_003,CLOTHING,LOC_003,2022-02-03,78.8623228734312,75.59,True,zscore,1.2,84.25
PROD_002,CLOTHING,LOC_002,2022-02-04,63.2448395,52.75,True,mad,1.5,84.01
PROD_003,CLOTHING,LOC_003,2022-02-04,78.8623228734312,61.73,True,zscore,1.2,84.98
PROD_004,FOOD,LOC_004,2022-02-04,104.29327959999999,122.12,True,mad,1.2,104.86
PROD_002,CLOTHING,LOC_002,2022-02-07,63.2448395,62.08,True,mad,1.5,84.7
PROD_003,CLOTHING,LOC_003,2022-02-07,78.8623228734312,84.21,True,zscore,1.2,84.4
PROD_004,FOOD,LOC_004,2022-02-07,104.29327959999999,166.16,True,mad,1.2,104.8
PROD_002,CLOTHING,LOC_002,2022-02-08,63.2448395,56.21,True,mad,1.5,85.25
PROD_003,CLOTHING,LOC_003,2022-02-08,78.8623228734312,59.23,True,zscore,1.2,90.72
PROD_002,CLOTHING,LOC_002,2022-02-09,63.2448395,45.51,True,mad,1.5,85.73
PROD_003,CLOTHING,LOC_003,2022-02-09,78.8623228734312,84.44,True,zscore,1.2,86.05
PROD_002,CLOTHING,LOC_002,2022-02-10,63.2448395,47.6,True,mad,1.5,86.73
PROD_003,CLOTHING,LOC_003,2022-02-10,78.8623228734312,62.73,True,zscore,1.2,92.68
PROD_004,FOOD,LOC_001,2022-02-10,96.04675410783926,129.51,True,zscore,1.2,108.84
PROD_004,FOOD,LOC_004,2022-02-10,104.29327959999999,68.75,True,mad,1.2,106.71
PROD_002,CLOTHING,LOC_002,2022-02-11,63.2448395,52.24,True,mad,1.5,84.45
PROD_003,CLOTHING,LOC_003,2022-02-11,78.8623228734312,103.12,True,zscore,1.2,96.1
PROD_002,CLOTHING,LOC_002,2022-02-14,63.2448395,61.96,True,mad,1.5,87.79
PROD_003,CLOTHING,LOC_003,2022-02-14,78.8623228734312,81.7,True,zscore,1.2,86.05
PROD_002,CLOTHING,LOC_002,2022-02-15,63.2448395,51.08,True,mad,1.5,87.68
PROD_003,CLOTHING,LOC_003,2022-02-15,78.8623228734312,84.48,True,zscore,1.2,93.0
PROD_002,CLOTHING,LOC_002,2022-02-16,63.2448395,53.29,True,mad,1.5,88.18
PROD_003,CLOTHING,LOC_003,2022-02-16,78.8623228734312,93.19,True,zscore,1.2,94.28
PROD_002,CLOTHING,LOC_002,2022-02-17,63.2448395,49.19,True,mad,1.5,84.9
PROD_003,CLOTHING,LOC_003,2022-02-17,78.8623228734312,111.74,True,zscore,1.2,93.78
PROD_004,FOOD,LOC_004,2022-02-17,104.29327959999999,105.79,True,mad,1.2,107.01
PROD_002,CLOTHING,LOC_002,2022-02-18,63.2448395,62.96,True,mad,1.5,88.62
PROD_003,CLOTHING,LOC_003,2022-02-18,78.8623228734312,60.93,True,zscore,1.2,90.57
PROD_002,CLOTHING,LOC_002,2022-02-19,63.2448395,56.29,True,mad,1.5,63.32
PROD_002,CLOTHING,LOC_002,2022-02-21,63.2448395,54.43,True,mad,1.5,88.66
PROD_003,CLOTHING,LOC_003,2022-02-21,78.8623228734312,59.86,True,zscore,1.2,92.55
PROD_004,FOOD,LOC_001,2022-02-21,96.04675410783926,154.96,True,zscore,1.2,97.38
PROD_002,CLOTHING,LOC_002,2022-02-22,63.2448395,55.15,True,mad,1.5,84.09
PROD_003,CLOTHING,LOC_003,2022-02-22,78.8623228734312,67.14,True,zscore,1.2,92.4
PROD_004,FOOD,LOC_004,2022-02-22,104.29327959999999,129.93,True,mad,1.2,105.78
PROD_005,FOOD,LOC_002,2022-02-22,135.67182916620254,89.3,True,zscore,1.2,144.01
PROD_002,CLOTHING,LOC_002,2022-02-23,63.2448395,55.57,True,mad,1.5,86.59
PROD_003,CLOTHING,LOC_003,2022-02-23,78.8623228734312,88.96,True,zscore,1.2,96.5
PROD_004,FOOD,LOC_004,2022-02-23,104.29327959999999,138.34,True,mad,1.2,104.58
PROD_002,CLOTHING,LOC_002,2022-02-24,63.2448395,43.04,True,mad,1.5,87.18
PROD_003,CLOTHING,LOC_003,2022-02-24,78.8623228734312,94.97,True,zscore,1.2,97.05
PROD_004,FOOD,LOC_004,2022-02-24,104.29327959999999,99.89,True,mad,1.2,105.88
PROD_002,CLOTHING,LOC_002,2022-02-25,63.2448395,45.14,True,mad,1.5,86.82
PROD_003,CLOTHING,LOC_003,2022-02-25,78.8623228734312,73.76,True,zscore,1.2,94.64
PROD_002,CLOTHING,LOC_002,2022-02-27,63.2448395,55.33,True,mad,1.5,63.41
PROD_002,CLOTHING,LOC_002,2022-02-28,63.2448395,56.42,True,mad,1.5,87.61
PROD_003,CLOTHING,LOC_003,2022-02-28,78.8623228734312,63.79,True,zscore,1.2,91.92
PROD_004,FOOD,LOC_004,2022-02-28,104.29327959999999,137.27,True,mad,1.2,107.41
PROD_002,CLOTHING,LOC_002,2022-03-01,63.2448395,48.83,True,mad,1.5,92.26
PROD_003,CLOTHING,LOC_003,2022-03-01,78.8623228734312,64.74,True,zscore,1.2,91.31
PROD_002,CLOTHING,LOC_002,2022-03-02,63.2448395,57.66,True,mad,1.5,89.2
PROD_003,CLOTHING,LOC_003,2022-03-02,78.8623228734312,98.98,True,zscore,1.2,95.63
PROD_004,FOOD,LOC_001,2022-03-02,96.04675410783926,111.49,True,zscore,1.2,98.07
PROD_004,FOOD,LOC_004,2022-03-02,104.29327959999999,111.87,True,mad,1.2,108.3
PROD_006,FOOD,LOC_004,2022-03-02,143.6932175,143.23,True,mad,1.5,147.75
PROD_002,CLOTHING,LOC_002,2022-03-03,63.2448395,31.23,True,mad,1.5,90.4
PROD_003,CLOTHING,LOC_003,2022-03-03,78.8623228734312,89.46,True,zscore,1.2,102.16
PROD_004,FOOD,LOC_004,2022-03-03,104.29327959999999,98.44,True,mad,1.2,107.35
PROD_002,CLOTHING,LOC_002,2022-03-04,63.2448395,63.84,True,mad,1.5,88.09
PROD_003,CLOTHING,LOC_003,2022-03-04,78.8623228734312,73.51,True,zscore,1.2,92.79
PROD_004,FOOD,LOC_001,2022-03-04,96.04675410783926,80.99,True,zscore,1.2,102.5
PROD_004,FOOD,LOC_004,2022-03-04,104.29327959999999,122.33,True,mad,1.2,108.07
PROD_002,CLOTHING,LOC_002,2022-03-07,63.2448395,58.28,True,mad,1.5,89.26
PROD_003,CLOTHING,LOC_003,2022-03-07,78.8623228734312,80.08,True,zscore,1.2,95.18
PROD_004,FOOD,LOC_001,2022-03-07,96.04675410783926,101.26,True,zscore,1.2,111.61
PROD_004,FOOD,LOC_004,2022-03-07,104.29327959999999,114.24,True,mad,1.2,105.48
PROD_002,CLOTHING,LOC_002,2022-03-08,63.2448395,67.89,True,mad,1.5,90.41
PROD_003,CLOTHING,LOC_003,2022-03-08,78.8623228734312,72.48,True,zscore,1.2,92.01
PROD_002,CLOTHING,LOC_002,2022-03-09,63.2448395,39.42,True,mad,1.5,90.13
PROD_003,CLOTHING,LOC_003,2022-03-09,78.8623228734312,65.74,True,zscore,1.2,95.26
PROD_002,CLOTHING,LOC_002,2022-03-10,63.2448395,45.29,True,mad,1.5,87.32
PROD_003,CLOTHING,LOC_003,2022-03-10,78.8623228734312,89.04,True,zscore,1.2,99.04
PROD_004,FOOD,LOC_004,2022-03-10,104.29327959999999,108.98,True,mad,1.2,106.45
PROD_002,CLOTHING,LOC_002,2022-03-11,63.2448395,65.15,True,mad,1.5,95.87
PROD_003,CLOTHING,LOC_003,2022-03-11,78.8623228734312,87.83,True,zscore,1.2,95.23
PROD_004,FOOD,LOC_004,2022-03-11,104.29327959999999,123.54,True,mad,1.2,114.08
PROD_002,CLOTHING,LOC_002,2022-03-12,63.2448395,53.66,True,mad,1.5,64.06
PROD_002,CLOTHING,LOC_002,2022-03-14,63.2448395,35.48,True,mad,1.5,93.81
PROD_003,CLOTHING,LOC_003,2022-03-14,78.8623228734312,63.97,True,zscore,1.2,96.38
PROD_004,FOOD,LOC_004,2022-03-14,104.29327959999999,138.03,True,mad,1.2,113.75
PROD_002,CLOTHING,LOC_002,2022-03-15,63.2448395,55.49,True,mad,1.5,88.88
PROD_003,CLOTHING,LOC_003,2022-03-15,78.8623228734312,85.61,True,zscore,1.2,92.77
PROD_004,FOOD,LOC_001,2022-03-15,96.04675410783926,102.33,True,zscore,1.2,97.55
PROD_004,FOOD,LOC_004,2022-03-15,104.29327959999999,115.94,True,mad,1.2,112.3
PROD_002,CLOTHING,LOC_002,2022-03-16,63.2448395,57.24,True,mad,1.5,89.92
PROD_003,CLOTHING,LOC_003,2022-03-16,78.8623228734312,84.92,True,zscore,1.2,96.42
PROD_004,FOOD,LOC_001,2022-03-16,96.04675410783926,121.95,True,zscore,1.2,102.42
PROD_002,CLOTHING,LOC_002,2022-03-17,63.2448395,52.27,True,mad,1.5,91.22
PROD_003,CLOTHING,LOC_003,2022-03-17,78.8623228734312,99.55,True,zscore,1.2,97.37
PROD_002,CLOTHING,LOC_002,2022-03-18,63.2448395,46.44,True,mad,1.5,93.0
PROD_003,CLOTHING,LOC_003,2022-03-18,78.8623228734312,66.32,True,zscore,1.2,96.0
PROD_004,FOOD,LOC_004,2022-03-18,104.29327959999999,113.67,True,mad,1.2,104.59
PROD_005,FOOD,LOC_003,2022-03-18,87.24391359999998,78.56,True,mad,1.2,87.64
PROD_002,CLOTHING,LOC_002,2022-03-21,63.2448395,71.49,True,mad,1.5,90.87
PROD_003,CLOTHING,LOC_003,2022-03-21,78.8623228734312,96.39,True,zscore,1.2,98.16
PROD_004,FOOD,LOC_001,2022-03-21,96.04675410783926,102.63,True,zscore,1.2,98.57
PROD_004,FOOD,LOC_004,2022-03-21,104.29327959999999,123.54,True,mad,1.2,111.0
PROD_002,CLOTHING,LOC_002,2022-03-22,63.2448395,43.02,True,mad,1.5,89.7
PROD_003,CLOTHING,LOC_003,2022-03-22,78.8623228734312,84.79,True,zscore,1.2,98.38
PROD_004,FOOD,LOC_001,2022-03-22,96.04675410783926,81.52,True,zscore,1.2,99.06
PROD_004,FOOD,LOC_004,2022-03-22,104.29327959999999,107.15,True,mad,1.2,112.46
PROD_005,FOOD,LOC_005,2022-03-22,115.3614764,134.97,True,mad,1.2,119.6
PROD_002,CLOTHING,LOC_002,2022-03-23,63.2448395,39.24,True,mad,1.5,92.05
PROD_003,CLOTHING,LOC_003,2022-03-23,78.8623228734312,72.35,True,zscore,1.2,94.72
PROD_002,CLOTHING,LOC_002,2022-03-24,63.2448395,49.28,True,mad,1.5,91.19
PROD_003,CLOTHING,LOC_003,2022-03-24,78.8623228734312,84.73,True,zscore,1.2,101.08
PROD_004,FOOD,LOC_004,2022-03-24,104.29327959999999,67.41,True,mad,1.2,108.75
PROD_002,CLOTHING,LOC_002,2022-03-25,63.2448395,44.49,True,mad,1.5,90.26
PROD_003,CLOTHING,LOC_003,2022-03-25,78.8623228734312,83.47,True,zscore,1.2,94.81
PROD_004,FOOD,LOC_004,2022-03-25,104.29327959999999,110.36,True,mad,1.2,107.58
PROD_002,CLOTHING,LOC_002,2022-03-28,63.2448395,65.26,True,mad,1.5,86.18
PROD_003,CLOTHING,LOC_003,2022-03-28,78.8623228734312,91.45,True,zscore,1.2,95.29
PROD_002,CLOTHING,LOC_002,2022-03-29,63.2448395,55.01,True,mad,1.5,91.6
PROD_003,CLOTHING,LOC_003,2022-03-29,78.8623228734312,84.32,True,zscore,1.2,96.16
PROD_004,FOOD,LOC_001,2022-03-29,96.04675410783926,127.82,True,zscore,1.2,98.48
PROD_004,FOOD,LOC_004,2022-03-29,104.29327959999999,97.59,True,mad,1.2,107.22
PROD_002,CLOTHING,LOC_002,2022-03-30,63.2448395,63.95,True,mad,1.5,90.9
PROD_003,CLOTHING,LOC_003,2022-03-30,78.8623228734312,105.71,True,zscore,1.2,97.89
PROD_004,FOOD,LOC_001,2022-03-30,96.04675410783926,107.0,True,zscore,1.2,100.33
PROD_002,CLOTHING,LOC_002,2022-03-31,63.2448395,55.27,True,mad,1.5,92.02
PROD_003,CLOTHING,LOC_003,2022-03-31,78.8623228734312,64.31,True,zscore,1.2,93.51
PROD_004,FOOD,LOC_001,2022-03-31,96.04675410783926,118.74,True,zscore,1.2,98.21
PROD_004,FOOD,LOC_004,2022-03-31,104.29327959999999,140.21,True,mad,1.2,111.1
PROD_002,CLOTHING,LOC_002,2022-04-01,63.2448395,43.82,True,mad,1.5,88.83
PROD_003,CLOTHING,LOC_003,2022-04-01,78.8623228734312,96.27,True,zscore,1.2,98.81
PROD_004,FOOD,LOC_004,2022-04-01,104.29327959999999,104.34,True,mad,1.2,104.88
PROD_002,CLOTHING,LOC_002,2022-04-04,63.2448395,55.06,True,mad,1.5,89.92
PROD_003,CLOTHING,LOC_003,2022-04-04,78.8623228734312,69.8,True,zscore,1.2,94.59
PROD_003,CLOTHING,LOC_005,2022-04-04,171.6408952,205.0,True,mad,1.2,180.75
PROD_004,FOOD,LOC_004,2022-04-04,104.29327959999999,84.71,True,mad,1.2,108.11
PROD_006,FOOD,LOC_004,2022-04-04,143.6932175,166.59,True,mad,1.5,144.04
PROD_002,CLOTHING,LOC_002,2022-04-05,63.2448395,56.51,True,mad,1.5,85.76
PROD_003,CLOTHING,LOC_003,2022-04-05,78.8623228734312,100.77,True,zscore,1.2,101.01
PROD_004,FOOD,LOC_004,2022-04-05,104.29327959999999,147.87,True,mad,1.2,113.55
PROD_006,FOOD,LOC_004,2022-04-05,143.6932175,192.74,True,mad,1.5,149.85
PROD_002,CLOTHING,LOC_002,2022-04-06,63.2448395,62.96,True,mad,1.5,86.49
PROD_003,CLOTHING,LOC_003,2022-04-06,78.8623228734312,78.55,True,zscore,1.2,97.77
PROD_004,FOOD,LOC_004,2022-04-06,104.29327959999999,138.47,True,mad,1.2,108.12
PROD_005,FOOD,LOC_005,2022-04-06,115.3614764,126.96,True,mad,1.2,116.58
PROD_002,CLOTHING,LOC_002,2022-04-07,63.2448395,58.32,True,mad,1.5,86.28
PROD_003,CLOTHING,LOC_003,2022-04-07,78.8623228734312,77.75,True,zscore,1.2,99.13
PROD_004,FOOD,LOC_004,2022-04-07,104.29327959999999,146.11,True,mad,1.2,106.69
PROD_002,CLOTHING,LOC_002,2022-04-08,63.2448395,65.32,True,mad,1.5,88.87
PROD_003,CLOTHING,LOC_003,2022-04-08,78.8623228734312,67.96,True,zscore,1.2,95.66
PROD_004,FOOD,LOC_004,2022-04-08,104.29327959999999,157.38,True,mad,1.2,108.53
PROD_002,CLOTHING,LOC_002,2022-04-11,63.2448395,67.08,True,mad,1.5,86.49
PROD_003,CLOTHING,LOC_003,2022-04-11,78.8623228734312,48.86,True,zscore,1.2,87.4
PROD_004,FOOD,LOC_004,2022-04-11,104.29327959999999,97.73,True,mad,1.2,111.19
PROD_002,CLOTHING,LOC_002,2022-04-12,63.2448395,67.16,True,mad,1.5,89.06
PROD_003,CLOTHING,LOC_003,2022-04-12,78.8623228734312,81.48,True,zscore,1.2,90.06
PROD_004,FOOD,LOC_004,2022-04-12,104.29327959999999,118.84,True,mad,1.2,111.09
PROD_002,CLOTHING,LOC_002,2022-04-13,63.2448395,49.33,True,mad,1.5,87.5
PROD_003,CLOTHING,LOC_003,2022-04-13,78.8623228734312,43.51,True,zscore,1.2,99.16
PROD_004,FOOD,LOC_001,2022-04-13,96.04675410783926,104.94,True,zscore,1.2,105.5
PROD_004,FOOD,LOC_004,2022-04-13,104.29327959999999,106.62,True,mad,1.2,106.0
PROD_005,FOOD,LOC_002,2022-04-13,135.67182916620254,182.72,True,zscore,1.2,140.83
PROD_002,CLOTHING,LOC_002,2022-04-14,63.2448395,60.67,True,mad,1.5,87.27
PROD_003,CLOTHING,LOC_003,2022-04-14,78.8623228734312,92.52,True,zscore,1.2,92.47
PROD_004,FOOD,LOC_001,2022-04-14,96.04675410783926,109.09,True,zscore,1.2,107.64
PROD_004,FOOD,LOC_004,2022-04-14,104.29327959999999,69.89,True,mad,1.2,105.23
PROD_002,CLOTHING,LOC_002,2022-04-15,63.2448395,74.87,True,mad,1.5,85.9
PROD_003,CLOTHING,LOC_003,2022-04-15,78.8623228734312,79.99,True,zscore,1.2,96.3
PROD_004,FOOD,LOC_004,2022-04-15,104.29327959999999,155.98,True,mad,1.2,106.06
PROD_002,CLOTHING,LOC_002,2022-04-18,63.2448395,57.19,True,mad,1.5,84.57
PROD_003,CLOTHING,LOC_003,2022-04-18,78.8623228734312,64.61,True,zscore,1.2,88.6
PROD_005,FOOD,LOC_005,2022-04-18,115.3614764,112.19,True,mad,1.2,116.35
PROD_002,CLOTHING,LOC_002,2022-04-19,63.2448395,71.04,True,mad,1.5,86.01
PROD_003,CLOTHING,LOC_003,2022-04-19,78.8623228734312,76.69,True,zscore,1.2,91.34
PROD_004,FOOD,LOC_004,2022-04-19,104.29327959999999,116.28,True,mad,1.2,108.29
PROD_002,CLOTHING,LOC_002,2022-04-20,63.2448395,47.64,True,mad,1.5,85.67
PROD_003,CLOTHING,LOC_003,2022-04-20,78.8623228734312,61.14,True,zscore,1.2,97.67
PROD_004,FOOD,LOC_004,2022-04-20,104.29327959999999,122.96,True,mad,1.2,112.83
PROD_002,CLOTHING,LOC_002,2022-04-21,63.2448395,19.47,True,mad,1.5,85.34
PROD_003,CLOTHING,LOC_003,2022-04-21,78.8623228734312,89.83,True,zscore,1.2,87.48
PROD_004,FOOD,LOC_004,2022-04-21,104.29327959999999,152.29,True,mad,1.2,104.37
PROD_005,FOOD,LOC_005,2022-04-21,115.3614764,156.87,True,mad,1.2,122.98
PROD_002,CLOTHING,LOC_002,2022-04-22,63.2448395,70.48,True,mad,1.5,83.18
PROD_003,CLOTHING,LOC_003,2022-04-22,78.8623228734312,93.43,True,zscore,1.2,100.39
PROD_003,CLOTHING,LOC_005,2022-04-22,171.6408952,178.05,True,mad,1.2,171.9
PROD_002,CLOTHING,LOC_002,2022-04-25,63.2448395,68.0,True,mad,1.5,85.78
PROD_003,CLOTHING,LOC_003,2022-04-25,78.8623228734312,104.56,True,zscore,1.2,87.95
PROD_004,FOOD,LOC_004,2022-04-25,104.29327959999999,133.25,True,mad,1.2,106.86
PROD_005,FOOD,LOC_002,2022-04-25,135.67182916620254,147.57,True,zscore,1.2,138.28
PROD_002,CLOTHING,LOC_002,2022-04-26,63.2448395,54.24,True,mad,1.5,82.74
PROD_003,CLOTHING,LOC_003,2022-04-26,78.8623228734312,81.07,True,zscore,1.2,91.41
PROD_004,FOOD,LOC_001,2022-04-26,96.04675410783926,125.81,True,zscore,1.2,98.21
PROD_004,FOOD,LOC_004,2022-04-26,104.29327959999999,179.11,True,mad,1.2,110.03
PROD_005,FOOD,LOC_002,2022-04-26,135.67182916620254,153.14,True,zscore,1.2,162.09
PROD_005,FOOD,LOC_005,2022-04-26,115.3614764,141.21,True,mad,1.2,122.24
PROD_002,CLOTHING,LOC_002,2022-04-27,63.2448395,47.58,True,mad,1.5,83.35
PROD_003,CLOTHING,LOC_003,2022-04-27,78.8623228734312,96.2,True,zscore,1.2,94.34
PROD_004,FOOD,LOC_004,2022-04-27,104.29327959999999,161.48,True,mad,1.2,108.66
PROD_002,CLOTHING,LOC_002,2022-04-28,63.2448395,35.44,True,mad,1.5,79.16
PROD_003,CLOTHING,LOC_003,2022-04-28,78.8623228734312,75.26,True,zscore,1.2,91.16
PROD_004,FOOD,LOC_001,2022-04-28,96.04675410783926,71.0,True,zscore,1.2,98.13
PROD_004,FOOD,LOC_004,2022-04-28,104.29327959999999,106.38,True,mad,1.2,108.41
PROD_002,CLOTHING,LOC_002,2022-04-29,63.2448395,48.51,True,mad,1.5,84.69
PROD_003,CLOTHING,LOC_003,2022-04-29,78.8623228734312,62.19,True,zscore,1.2,91.13
PROD_004,FOOD,LOC_001,2022-04-29,96.04675410783926,93.4,True,zscore,1.2,102.79
PROD_004,FOOD,LOC_004,2022-04-29,104.29327959999999,111.4,True,mad,1.2,108.99
PROD_002,CLOTHING,LOC_002,2022-05-02,63.2448395,59.65,True,mad,1.5,79.94
PROD_003,CLOTHING,LOC_003,2022-05-02,78.8623228734312,111.23,True,zscore,1.2,88.95
PROD_004,FOOD,LOC_001,2022-05-02,96.04675410783926,78.81,True,zscore,1.2,101.14
PROD_005,FOOD,LOC_003,2022-05-02,87.24391359999998,110.17,True,mad,1.2,88.07
PROD_002,CLOTHING,LOC_002,2022-05-03,63.2448395,45.99,True,mad,1.5,79.27
PROD_003,CLOTHING,LOC_003,2022-05-03,78.8623228734312,107.1,True,zscore,1.2,87.66
PROD_004,FOOD,LOC_004,2022-05-03,104.29327959999999,84.73,True,mad,1.2,109.09
PROD_002,CLOTHING,LOC_002,2022-05-04,63.2448395,48.63,True,mad,1.5,82.6
PROD_003,CLOTHING,LOC_003,2022-05-04,78.8623228734312,82.18,True,zscore,1.2,91.51
PROD_002,CLOTHING,LOC_002,2022-05-05,63.2448395,58.59,True,mad,1.5,81.1
PROD_003,CLOTHING,LOC_003,2022-05-05,78.8623228734312,80.4,True,zscore,1.2,87.06
PROD_002,CLOTHING,LOC_002,2022-05-06,63.2448395,53.76,True,mad,1.5,80.48
PROD_003,CLOTHING,LOC_003,2022-05-06,78.8623228734312,106.99,True,zscore,1.2,97.38
PROD_004,FOOD,LOC_004,2022-05-06,104.29327959999999,139.33,True,mad,1.2,108.58
PROD_002,CLOTHING,LOC_002,2022-05-09,63.2448395,52.9,True,mad,1.5,80.3
PROD_003,CLOTHING,LOC_003,2022-05-09,78.8623228734312,99.13,True,zscore,1.2,92.25
PROD_002,CLOTHING,LOC_002,2022-05-10,63.2448395,55.0,True,mad,1.5,78.17
PROD_004,FOOD,LOC_004,2022-05-10,104.29327959999999,113.95,True,mad,1.2,110.89
PROD_002,CLOTHING,LOC_002,2022-05-11,63.2448395,61.2,True,mad,1.5,78.13
PROD_003,CLOTHING,LOC_003,2022-05-11,78.8623228734312,95.0,True,zscore,1.2,81.87
PROD_004,FOOD,LOC_004,2022-05-11,104.29327959999999,131.09,True,mad,1.2,112.71
PROD_002,CLOTHING,LOC_002,2022-05-12,63.2448395,55.83,True,mad,1.5,75.64
PROD_003,CLOTHING,LOC_003,2022-05-12,78.8623228734312,90.06,True,zscore,1.2,87.45
PROD_004,FOOD,LOC_001,2022-05-12,96.04675410783926,105.12,True,zscore,1.2,100.75
PROD_002,CLOTHING,LOC_002,2022-05-13,63.2448395,35.84,True,mad,1.5,77.27
PROD_003,CLOTHING,LOC_003,2022-05-13,78.8623228734312,89.54,True,zscore,1.2,83.89
PROD_005,FOOD,LOC_002,2022-05-13,135.67182916620254,165.39,True,zscore,1.2,144.85
PROD_002,CLOTHING,LOC_002,2022-05-16,63.2448395,63.03,True,mad,1.5,78.35
PROD_003,CLOTHING,LOC_003,2022-05-16,78.8623228734312,77.19,True,zscore,1.2,90.3
PROD_002,CLOTHING,LOC_002,2022-05-17,63.2448395,43.83,True,mad,1.5,76.63
PROD_003,CLOTHING,LOC_003,2022-05-17,78.8623228734312,52.68,True,zscore,1.2,88.16
